customer_id,customer_first,customer_last,customer_phone,customer_email
10,Robert,Smith,8593841723,robertss@gmail.com
11,David,Rodriguez,6294837534,drodriguez@outlook.com
12,Michael,Williams,5419283042,mw10@scu.edu
13,James,Ellen,2627384935,james262@gmail.com
14,Christine,Lim,2134875038,chrislim20@gmail.com
15,Amy,Song,8774720394,asong3@scu.edu
16,Coco,Chang,9518273942,chang1997@outlook.com
17,Daniel,Johnson,6263840586,danielajohn@outlook.com
18,Linda,Miller,6268375067,millerlinda28@gmail.com
19,Patricia,Jones,2088475066,patjones17@gmail.com
20,Elizabeth,Anderson,4095869283,ellie9352@gmail.com
